Project,Date,Chin,agency_cd,site_no,Gage_Mean
Bonneville,2009-03-01,0,USGS,14128600,75.39
Bonneville,2009-03-02,1,USGS,14128600,75.83
Bonneville,2009-03-03,0,USGS,14128600,75.65
Bonneville,2009-03-04,0,USGS,14128600,76.47
Bonneville,2009-03-05,0,USGS,14128600,76.57
Bonneville,2009-03-06,3,USGS,14128600,76.48
Bonneville,2009-03-07,0,USGS,14128600,75.97
Bonneville,2009-03-08,1,USGS,14128600,75.92
Bonneville,2009-03-09,12,USGS,14128600,76.4
Bonneville,2009-03-10,0,USGS,14128600,76.42
Bonneville,2009-03-11,0,USGS,14128600,76.11
Bonneville,2009-03-12,2,USGS,14128600,75.67
Bonneville,2009-03-13,4,USGS,14128600,76.03
Bonneville,2009-03-14,0,USGS,14128600,75.6
Bonneville,2009-03-15,2,USGS,14128600,75.97
Bonneville,2009-03-16,3,USGS,14128600,76.2
Bonneville,2009-03-17,2,USGS,14128600,76.26
Bonneville,2009-03-18,3,USGS,14128600,76.16
Bonneville,2009-03-19,14,USGS,14128600,75.89
Bonneville,2009-03-20,3,USGS,14128600,76.24
Bonneville,2009-03-21,10,USGS,14128600,76.39
Bonneville,2009-03-22,7,USGS,14128600,76.25
Bonneville,2009-03-23,9,USGS,14128600,76.54
Bonneville,2009-03-24,10,USGS,14128600,76.27
Bonneville,2009-03-25,9,USGS,14128600,76.14
Bonneville,2009-03-26,12,USGS,14128600,76.28
Bonneville,2009-03-27,10,USGS,14128600,75.66
Bonneville,2009-03-28,6,USGS,14128600,76.45
Bonneville,2009-03-29,9,USGS,14128600,76.33
Bonneville,2009-03-30,9,USGS,14128600,76.04
Bonneville,2009-03-31,23,USGS,14128600,76.32
Bonneville,2009-04-01,10,USGS,14128600,76.34
Bonneville,2009-04-02,12,USGS,14128600,76.14
Bonneville,2009-04-03,47,USGS,14128600,76.02
Bonneville,2009-04-04,42,USGS,14128600,76.14
Bonneville,2009-04-05,65,USGS,14128600,75.8
Bonneville,2009-04-06,100,USGS,14128600,75.35
Bonneville,2009-04-07,79,USGS,14128600,75.35
Bonneville,2009-04-08,88,USGS,14128600,75.15
Bonneville,2009-04-09,130,USGS,14128600,75.88
Bonneville,2009-04-10,179,USGS,14128600,76.66
Bonneville,2009-04-11,97,USGS,14128600,76.59
Bonneville,2009-04-12,101,USGS,14128600,76.08
Bonneville,2009-04-13,74,USGS,14128600,75.11
Bonneville,2009-04-14,89,USGS,14128600,74.91
Bonneville,2009-04-15,55,USGS,14128600,75.68
Bonneville,2009-04-16,112,USGS,14128600,75.2
Bonneville,2009-04-17,152,USGS,14128600,75.03
Bonneville,2009-04-18,258,USGS,14128600,75.09
Bonneville,2009-04-19,742,USGS,14128600,74.75
Bonneville,2009-04-20,616,USGS,14128600,74.45
Bonneville,2009-04-21,1164,USGS,14128600,74.64
Bonneville,2009-04-22,1990,USGS,14128600,74.51
Bonneville,2009-04-23,2142,USGS,14128600,75.48
Bonneville,2009-04-24,1509,USGS,14128600,77.19
Bonneville,2009-04-25,1604,USGS,14128600,76.06
Bonneville,2009-04-26,1765,USGS,14128600,75.99
Bonneville,2009-04-27,2095,USGS,14128600,76.01
Bonneville,2009-04-28,1483,USGS,14128600,75.64
Bonneville,2009-04-29,2904,USGS,14128600,75.33
Bonneville,2009-04-30,2151,USGS,14128600,75.74
Bonneville,2009-05-01,3028,USGS,14128600,75.95
Bonneville,2009-05-02,7036,USGS,14128600,75.62
Bonneville,2009-05-03,6317,USGS,14128600,75.43
Bonneville,2009-05-04,3856,USGS,14128600,75.59
Bonneville,2009-05-05,4827,USGS,14128600,75.84
Bonneville,2009-05-06,4493,USGS,14128600,76.45
Bonneville,2009-05-07,5026,USGS,14128600,76.45
Bonneville,2009-05-08,4277,USGS,14128600,74.5
Bonneville,2009-05-09,2153,USGS,14128600,75.6
Bonneville,2009-05-10,3195,USGS,14128600,75.97
Bonneville,2009-05-11,3481,USGS,14128600,76.16
Bonneville,2009-05-12,3821,USGS,14128600,76.3
Bonneville,2009-05-13,1848,USGS,14128600,76.97
Bonneville,2009-05-14,1897,USGS,14128600,76.1
Bonneville,2009-05-15,3308,USGS,14128600,75.64
Bonneville,2009-05-16,2506,USGS,14128600,75.54
Bonneville,2009-05-17,2648,USGS,14128600,75.19
Bonneville,2009-05-18,4166,USGS,14128600,75.51
Bonneville,2009-05-19,3095,USGS,14128600,76.43
Bonneville,2009-05-20,2136,USGS,14128600,76.88
Bonneville,2009-05-21,2110,USGS,14128600,76.57
Bonneville,2009-05-22,2172,USGS,14128600,76.49
Bonneville,2009-05-23,2010,USGS,14128600,75.41
Bonneville,2009-05-24,2128,USGS,14128600,76.39
Bonneville,2009-05-25,1962,USGS,14128600,76.2
Bonneville,2009-05-26,1830,USGS,14128600,76.6
Bonneville,2009-05-27,1432,USGS,14128600,76.24
Bonneville,2009-05-28,1310,USGS,14128600,76.21
Bonneville,2009-05-29,1540,USGS,14128600,75.67
Bonneville,2009-05-30,1251,USGS,14128600,76.55
Bonneville,2009-05-31,1670,USGS,14128600,76.84
Bonneville,2010-03-01,3,USGS,14128600,76.79
Bonneville,2010-03-02,0,USGS,14128600,76.71
Bonneville,2010-03-03,0,USGS,14128600,76.93
Bonneville,2010-03-04,0,USGS,14128600,76.95
Bonneville,2010-03-05,0,USGS,14128600,76.71
Bonneville,2010-03-06,1,USGS,14128600,76.88
Bonneville,2010-03-07,0,USGS,14128600,76.65
Bonneville,2010-03-08,1,USGS,14128600,76.06
Bonneville,2010-03-09,1,USGS,14128600,76.58
Bonneville,2010-03-10,2,USGS,14128600,76.81
Bonneville,2010-03-11,4,USGS,14128600,76.6
Bonneville,2010-03-12,6,USGS,14128600,76.27
Bonneville,2010-03-13,7,USGS,14128600,75.21
Bonneville,2010-03-14,9,USGS,14128600,75.3
Bonneville,2010-03-15,7,USGS,14128600,75.32
Bonneville,2010-03-16,11,USGS,14128600,75.09
Bonneville,2010-03-17,6,USGS,14128600,74.37
Bonneville,2010-03-18,14,USGS,14128600,73.89
Bonneville,2010-03-19,25,USGS,14128600,73.76
Bonneville,2010-03-20,11,USGS,14128600,73.84
Bonneville,2010-03-21,9,USGS,14128600,73.28
Bonneville,2010-03-22,22,USGS,14128600,73.21
Bonneville,2010-03-23,16,USGS,14128600,74.88
Bonneville,2010-03-24,24,USGS,14128600,75.32
Bonneville,2010-03-25,35,USGS,14128600,75.91
Bonneville,2010-03-26,32,USGS,14128600,76.07
Bonneville,2010-03-27,23,USGS,14128600,76.22
Bonneville,2010-03-28,26,USGS,14128600,75.79
Bonneville,2010-03-29,45,USGS,14128600,76.3
Bonneville,2010-03-30,74,USGS,14128600,76.09
Bonneville,2010-03-31,54,USGS,14128600,75.22
Bonneville,2010-04-01,166,USGS,14128600,73.67
Bonneville,2010-04-02,227,USGS,14128600,72.82
Bonneville,2010-04-03,159,USGS,14128600,73.84
Bonneville,2010-04-04,168,USGS,14128600,74.87
Bonneville,2010-04-05,88,USGS,14128600,75.54
Bonneville,2010-04-06,229,USGS,14128600,75.45
Bonneville,2010-04-07,338,USGS,14128600,75.58
Bonneville,2010-04-08,687,USGS,14128600,75.52
Bonneville,2010-04-09,1068,USGS,14128600,75.75
Bonneville,2010-04-10,3546,USGS,14128600,76.41
Bonneville,2010-04-11,1136,USGS,14128600,76.1
Bonneville,2010-04-12,1470,USGS,14128600,76.2
Bonneville,2010-04-13,1839,USGS,14128600,76.5
Bonneville,2010-04-14,3794,USGS,14128600,76.72
Bonneville,2010-04-15,7719,USGS,14128600,76.43
Bonneville,2010-04-16,6528,USGS,14128600,76.35
Bonneville,2010-04-17,7833,USGS,14128600,76.3
Bonneville,2010-04-18,2492,USGS,14128600,76.01
Bonneville,2010-04-19,7762,USGS,14128600,75.82
Bonneville,2010-04-20,9014,USGS,14128600,75.71
Bonneville,2010-04-21,11697,USGS,14128600,75.84
Bonneville,2010-04-22,7407,USGS,14128600,75.78
Bonneville,2010-04-23,6619,USGS,14128600,76.69
Bonneville,2010-04-24,5773,USGS,14128600,76.37
Bonneville,2010-04-25,7284,USGS,14128600,76.19
Bonneville,2010-04-26,6469,USGS,14128600,76.62
Bonneville,2010-04-27,9073,USGS,14128600,76.32
Bonneville,2010-04-28,8122,USGS,14128600,76.12
Bonneville,2010-04-29,8788,USGS,14128600,76.13
Bonneville,2010-04-30,5996,USGS,14128600,75.9
Bonneville,2010-05-01,7764,USGS,14128600,76.07
Bonneville,2010-05-02,7651,USGS,14128600,76.88
Bonneville,2010-05-03,9184,USGS,14128600,76.67
Bonneville,2010-05-04,4808,USGS,14128600,76.08
Bonneville,2010-05-05,4289,USGS,14128600,75.76
Bonneville,2010-05-06,6732,USGS,14128600,76.14
Bonneville,2010-05-07,7549,USGS,14128600,76.15
Bonneville,2010-05-08,5655,USGS,14128600,76.29
Bonneville,2010-05-09,7306,USGS,14128600,76.16
Bonneville,2010-05-10,6614,USGS,14128600,75.96
Bonneville,2010-05-11,2807,USGS,14128600,75.66
Bonneville,2010-05-12,3681,USGS,14128600,75.95
Bonneville,2010-05-13,2482,USGS,14128600,76.0
Bonneville,2010-05-14,2985,USGS,14128600,76.0
Bonneville,2010-05-15,4998,USGS,14128600,76.1
Bonneville,2010-05-16,2814,USGS,14128600,76.27
Bonneville,2010-05-17,2219,USGS,14128600,76.29
Bonneville,2010-05-18,1256,USGS,14128600,75.46
Bonneville,2010-05-19,1219,USGS,14128600,75.08
Bonneville,2010-05-20,709,USGS,14128600,75.05
Bonneville,2010-05-21,761,USGS,14128600,75.89
Bonneville,2010-05-22,728,USGS,14128600,76.18
Bonneville,2010-05-23,947,USGS,14128600,75.99
Bonneville,2010-05-24,1564,USGS,14128600,76.05
Bonneville,2010-05-25,1232,USGS,14128600,75.45
Bonneville,2010-05-26,1138,USGS,14128600,75.56
Bonneville,2010-05-27,1829,USGS,14128600,75.74
Bonneville,2010-05-28,1563,USGS,14128600,75.96
Bonneville,2010-05-29,2282,USGS,14128600,75.81
Bonneville,2010-05-30,2625,USGS,14128600,76.54
Bonneville,2010-05-31,3069,USGS,14128600,76.43
Bonneville,2011-03-01,0,USGS,14128600,75.37
Bonneville,2011-03-02,2,USGS,14128600,75.13
Bonneville,2011-03-03,1,USGS,14128600,74.56
Bonneville,2011-03-04,0,USGS,14128600,74.68
Bonneville,2011-03-05,2,USGS,14128600,74.45
Bonneville,2011-03-06,3,USGS,14128600,74.72
Bonneville,2011-03-07,7,USGS,14128600,75.74
Bonneville,2011-03-08,1,USGS,14128600,74.81
Bonneville,2011-03-09,2,USGS,14128600,74.86
Bonneville,2011-03-10,5,USGS,14128600,75.52
Bonneville,2011-03-11,4,USGS,14128600,74.39
Bonneville,2011-03-12,5,USGS,14128600,73.9
Bonneville,2011-03-13,1,USGS,14128600,74.19
Bonneville,2011-03-14,2,USGS,14128600,74.55
Bonneville,2011-03-15,1,USGS,14128600,75.29
Bonneville,2011-03-16,9,USGS,14128600,74.9
Bonneville,2011-03-17,4,USGS,14128600,74.69
Bonneville,2011-03-18,3,USGS,14128600,75.09
Bonneville,2011-03-19,2,USGS,14128600,74.81
Bonneville,2011-03-20,6,USGS,14128600,75.42
Bonneville,2011-03-21,3,USGS,14128600,74.19
Bonneville,2011-03-22,10,USGS,14128600,74.37
Bonneville,2011-03-23,14,USGS,14128600,74.73
Bonneville,2011-03-24,9,USGS,14128600,75.33
Bonneville,2011-03-25,15,USGS,14128600,74.66
Bonneville,2011-03-26,4,USGS,14128600,74.79
Bonneville,2011-03-27,1,USGS,14128600,75.12
Bonneville,2011-03-28,6,USGS,14128600,74.36
Bonneville,2011-03-29,8,USGS,14128600,74.65
Bonneville,2011-03-30,12,USGS,14128600,75.48
Bonneville,2011-03-31,17,USGS,14128600,75.02
Bonneville,2011-04-01,37,USGS,14128600,75.5
Bonneville,2011-04-02,42,USGS,14128600,77.43
Bonneville,2011-04-03,28,USGS,14128600,77.51
Bonneville,2011-04-04,14,USGS,14128600,76.97
Bonneville,2011-04-05,44,USGS,14128600,77.74
Bonneville,2011-04-06,27,USGS,14128600,77.89
Bonneville,2011-04-07,72,USGS,14128600,77.46
Bonneville,2011-04-08,84,USGS,14128600,76.75
Bonneville,2011-04-09,66,USGS,14128600,76.47
Bonneville,2011-04-10,72,USGS,14128600,77.33
Bonneville,2011-04-11,50,USGS,14128600,76.2
Bonneville,2011-04-12,79,USGS,14128600,76.04
Bonneville,2011-04-13,76,USGS,14128600,76.54
Bonneville,2011-04-14,85,USGS,14128600,75.69
Bonneville,2011-04-15,138,USGS,14128600,76.95
Bonneville,2011-04-16,119,USGS,14128600,76.26
Bonneville,2011-04-17,113,USGS,14128600,75.53
Bonneville,2011-04-18,253,USGS,14128600,76.29
Bonneville,2011-04-19,231,USGS,14128600,76.28
Bonneville,2011-04-20,217,USGS,14128600,75.52
Bonneville,2011-04-21,361,USGS,14128600,75.81
Bonneville,2011-04-22,496,USGS,14128600,75.82
Bonneville,2011-04-23,410,USGS,14128600,75.65
Bonneville,2011-04-24,539,USGS,14128600,75.66
Bonneville,2011-04-25,1019,USGS,14128600,75.75
Bonneville,2011-04-26,4787,USGS,14128600,75.89
Bonneville,2011-04-27,4690,USGS,14128600,75.88
Bonneville,2011-04-28,5846,USGS,14128600,76.34
Bonneville,2011-04-29,5927,USGS,14128600,75.49
Bonneville,2011-04-30,8657,USGS,14128600,75.06
Bonneville,2011-05-01,15766,USGS,14128600,75.93
Bonneville,2011-05-02,8402,USGS,14128600,75.63
Bonneville,2011-05-03,9832,USGS,14128600,75.55
Bonneville,2011-05-04,6478,USGS,14128600,75.93
Bonneville,2011-05-05,7515,USGS,14128600,74.55
Bonneville,2011-05-06,10131,USGS,14128600,74.59
Bonneville,2011-05-07,7870,USGS,14128600,75.14
Bonneville,2011-05-08,5839,USGS,14128600,76.13
Bonneville,2011-05-09,9255,USGS,14128600,75.67
Bonneville,2011-05-10,9754,USGS,14128600,76.32
Bonneville,2011-05-11,4625,USGS,14128600,75.18
Bonneville,2011-05-12,6623,USGS,14128600,75.15
Bonneville,2011-05-13,4979,USGS,14128600,76.03
Bonneville,2011-05-14,4392,USGS,14128600,76.0
Bonneville,2011-05-15,3099,USGS,14128600,75.97
Bonneville,2011-05-16,2979,USGS,14128600,77.21
Bonneville,2011-05-17,1788,USGS,14128600,78.05
Bonneville,2011-05-18,1160,USGS,14128600,78.3
Bonneville,2011-05-19,912,USGS,14128600,77.88
Bonneville,2011-05-20,1005,USGS,14128600,77.62
Bonneville,2011-05-21,1048,USGS,14128600,77.26
Bonneville,2011-05-22,582,USGS,14128600,77.63
Bonneville,2011-05-23,603,USGS,14128600,77.31
Bonneville,2011-05-24,657,USGS,14128600,77.67
Bonneville,2011-05-25,607,USGS,14128600,78.05
Bonneville,2011-05-26,443,USGS,14128600,77.32
Bonneville,2011-05-27,800,USGS,14128600,77.43
Bonneville,2011-05-28,1065,USGS,14128600,77.57
Bonneville,2011-05-29,914,USGS,14128600,78.29
Bonneville,2011-05-30,1241,USGS,14128600,78.69
Bonneville,2011-05-31,2030,USGS,14128600,78.17
Bonneville,2012-03-01,0,USGS,14128600,74.94
Bonneville,2012-03-02,0,USGS,14128600,75.81
Bonneville,2012-03-03,0,USGS,14128600,75.22
Bonneville,2012-03-04,2,USGS,14128600,75.6
Bonneville,2012-03-05,0,USGS,14128600,75.66
Bonneville,2012-03-06,1,USGS,14128600,75.1
Bonneville,2012-03-07,3,USGS,14128600,75.02
Bonneville,2012-03-08,0,USGS,14128600,75.32
Bonneville,2012-03-09,0,USGS,14128600,74.78
Bonneville,2012-03-10,0,USGS,14128600,74.71
Bonneville,2012-03-11,4,USGS,14128600,74.92
Bonneville,2012-03-12,1,USGS,14128600,74.62
Bonneville,2012-03-13,0,USGS,14128600,75.83
Bonneville,2012-03-14,2,USGS,14128600,75.75
Bonneville,2012-03-15,3,USGS,14128600,75.3
Bonneville,2012-03-16,3,USGS,14128600,75.32
Bonneville,2012-03-17,2,USGS,14128600,75.02
Bonneville,2012-03-18,2,USGS,14128600,75.24
Bonneville,2012-03-19,3,USGS,14128600,75.29
Bonneville,2012-03-20,1,USGS,14128600,74.88
Bonneville,2012-03-21,1,USGS,14128600,75.1
Bonneville,2012-03-22,0,USGS,14128600,75.4
Bonneville,2012-03-23,1,USGS,14128600,75.56
Bonneville,2012-03-24,0,USGS,14128600,76.79
Bonneville,2012-03-25,0,USGS,14128600,76.09
Bonneville,2012-03-26,2,USGS,14128600,75.11
Bonneville,2012-03-27,1,USGS,14128600,75.24
Bonneville,2012-03-28,3,USGS,14128600,75.32
Bonneville,2012-03-29,0,USGS,14128600,76.01
Bonneville,2012-03-30,2,USGS,14128600,77.78
Bonneville,2012-03-31,1,USGS,14128600,76.34
Bonneville,2012-04-01,2,USGS,14128600,75.26
Bonneville,2012-04-02,1,USGS,14128600,75.65
Bonneville,2012-04-03,3,USGS,14128600,75.23
Bonneville,2012-04-04,4,USGS,14128600,75.18
Bonneville,2012-04-05,17,USGS,14128600,75.57
Bonneville,2012-04-06,20,USGS,14128600,77.45
Bonneville,2012-04-07,6,USGS,14128600,76.9
Bonneville,2012-04-08,6,USGS,14128600,75.41
Bonneville,2012-04-09,15,USGS,14128600,74.47
Bonneville,2012-04-10,16,USGS,14128600,75.66
Bonneville,2012-04-11,9,USGS,14128600,76.4
Bonneville,2012-04-12,41,USGS,14128600,75.66
Bonneville,2012-04-13,78,USGS,14128600,75.78
Bonneville,2012-04-14,104,USGS,14128600,75.43
Bonneville,2012-04-15,141,USGS,14128600,75.53
Bonneville,2012-04-16,120,USGS,14128600,76.05
Bonneville,2012-04-17,235,USGS,14128600,75.8
Bonneville,2012-04-18,222,USGS,14128600,75.9
Bonneville,2012-04-19,365,USGS,14128600,75.43
Bonneville,2012-04-20,655,USGS,14128600,76.05
Bonneville,2012-04-21,1321,USGS,14128600,76.23
Bonneville,2012-04-22,2887,USGS,14128600,77.24
Bonneville,2012-04-23,4376,USGS,14128600,77.16
Bonneville,2012-04-24,4873,USGS,14128600,76.18
Bonneville,2012-04-25,2427,USGS,14128600,76.08
Bonneville,2012-04-26,1382,USGS,14128600,78.06
Bonneville,2012-04-27,781,USGS,14128600,76.44
Bonneville,2012-04-28,603,USGS,14128600,77.85
Bonneville,2012-04-29,823,USGS,14128600,77.21
Bonneville,2012-04-30,1930,USGS,14128600,76.08
Bonneville,2012-05-01,2238,USGS,14128600,76.19
Bonneville,2012-05-02,1746,USGS,14128600,76.52
Bonneville,2012-05-03,2506,USGS,14128600,77.45
Bonneville,2012-05-04,3393,USGS,14128600,77.2
Bonneville,2012-05-05,3002,USGS,14128600,77.27
Bonneville,2012-05-06,5959,USGS,14128600,77.84
Bonneville,2012-05-07,9081,USGS,14128600,76.55
Bonneville,2012-05-08,12000,USGS,14128600,76.11
Bonneville,2012-05-09,18436,USGS,14128600,76.22
Bonneville,2012-05-10,7200,USGS,14128600,76.43
Bonneville,2012-05-11,5381,USGS,14128600,76.72
Bonneville,2012-05-12,7284,USGS,14128600,77.11
Bonneville,2012-05-13,8786,USGS,14128600,77.22
Bonneville,2012-05-14,8224,USGS,14128600,75.67
Bonneville,2012-05-15,7324,USGS,14128600,76.02
Bonneville,2012-05-16,4036,USGS,14128600,76.39
Bonneville,2012-05-17,4636,USGS,14128600,76.67
Bonneville,2012-05-18,3118,USGS,14128600,77.81
Bonneville,2012-05-19,2199,USGS,14128600,78.45
Bonneville,2012-05-20,2053,USGS,14128600,76.95
Bonneville,2012-05-21,1987,USGS,14128600,76.43
Bonneville,2012-05-22,1097,USGS,14128600,76.47
Bonneville,2012-05-23,960,USGS,14128600,76.95
Bonneville,2012-05-24,1372,USGS,14128600,77.2
Bonneville,2012-05-25,1406,USGS,14128600,77.4
Bonneville,2012-05-26,1160,USGS,14128600,77.38
Bonneville,2012-05-27,1144,USGS,14128600,76.37
Bonneville,2012-05-28,1383,USGS,14128600,76.53
Bonneville,2012-05-29,1494,USGS,14128600,76.27
Bonneville,2012-05-30,1833,USGS,14128600,76.7
